,Compound,Tc(K),Pc(MPa),w,Zc,CP/R,? (g/ml),molar mass,molar density
908,CARBON MONOXIDE,132.9,3.499,0.066,0.295,3.505,0.88,28.01,35.70153517
909,CARBON DIOXIDE,304.2,7.382,0.228,0.274,4.456,1.18,44.01,22.72210861
1922,HYDROGEN SULFIDE,373.5,8.937,0.081,0.283,,0.95,34.0809,29.34194813
1938,CARBON DISULFIDE,552,7.8,0.115,0.293,4.109,1.26,76.139,13.13387357
,HYDRAZINE,653,14.5,0.328,0.26,5.47,1.02,32.0452,31.20592164
1904,HYDROGEN CHLORIDE,324.6,8.2,0.12,0.249,,1.19,36.46,27.42731761
1771,HYDROGEN CYANIDE,456.8,5.32,0.407,0.197,,0.68,20.0253,49.93682991
1051,ACETONE,508.2,4.701,0.306,0.233,8.96,0.79,58.058,17.22415516
1772,ACETONITRILE,545.5,4.833,0.353,0.184,,0.78,41.05,24.36053593
1251,ACETIC ACID,592.7,5.786,0.462,0.2,15.011,1.04,60.05,16.65278934
1911,AMMONIA,406.6,11.27,0.252,0.242,4.289,0.68,17.031,58.71645822
1921,WATER,647.3,22.12,0.344,0.233,4.041,1,18.01528,55.50843506
